Date,Open,High,Low,Close,Adj Close,Volume
2014-05-10,83.927139,85.361427,83.628571,85.358574,77.310577,261613100
2014-05-17,85.407143,87.818573,85.332855,87.732857,79.460983,295605100
2014-05-24,87.982857,92.024284,87.947144,90.428574,81.902557,401210600
2014-05-31,90.565712,93.037140,88.928574,92.224289,83.528938,412821500
2014-06-07,92.699997,95.050003,90.879997,91.279999,82.673691,293147000
2014-06-14,91.510002,92.750000,90.900002,90.910004,82.338593,235227000
2014-06-21,91.320000,92.000000,89.650002,91.980003,83.307701,216257000
2014-06-28,92.099998,94.099998,92.089996,94.029999,85.164391,139062100
2014-07-05,94.139999,96.800003,93.519997,95.220001,86.242210,231830000
2014-07-12,95.860001,97.099998,92.570000,94.430000,85.526695,248970200
2014-07-19,94.989998,97.879997,93.720001,97.669998,88.461205,276392000
2014-07-26,97.820000,99.440002,94.809998,96.129997,87.066406,236825000
2014-08-02,96.370003,96.580002,93.279999,94.739998,85.807472,223025000
2014-08-09,95.269997,98.190002,94.839996,97.980003,89.183418,179363000
2014-08-16,98.489998,101.470001,97.980003,101.320000,92.223526,247332000
2014-08-23,101.790001,102.900002,100.699997,102.500000,93.297585,238846000
2014-08-30,103.059998,103.739998,97.790001,98.970001,90.084518,323160000
2014-09-06,99.300003,103.080002,96.139999,101.660004,92.533028,462051800
2014-09-13,102.809998,103.050003,98.889999,100.959999,91.895859,297352900
2014-09-20,101.800003,102.940002,97.720001,100.750000,91.704720,338824900
2014-09-27,98.650002,101.540001,98.040001,99.620003,90.676155,247749100
2014-10-04,99.949997,102.379997,98.309998,100.730003,91.686493,280258200
2014-10-11,101.330002,101.779999,95.180000,97.669998,88.901215,358539800
2014-10-18,98.320000,105.489998,98.220001,105.220001,95.773392,358532900
2014-10-25,104.849998,108.040001,104.699997,108.000000,98.303780,220230600
2014-11-01,108.220001,110.300003,107.720001,109.010002,99.223137,199952900
2014-11-08,109.019997,114.190002,108.400002,114.180000,104.379631,205166700
2014-11-15,114.269997,117.570000,113.300003,116.470001,106.473061,233414700
2014-11-22,116.849998,119.750000,116.620003,118.930000,108.721893,181873900
2014-11-29,118.809998,119.250000,111.269997,115.000000,105.129219,266589700
2014-12-06,114.099998,114.849998,109.349998,109.730003,100.311569,259868000
2014-12-13,110.699997,113.239998,106.260002,111.779999,102.185616,328856600
2014-12-20,112.160004,114.519997,111.970001,113.989998,104.205940,119396500
2014-12-27,113.790001,114.769997,107.349998,109.330002,99.945885,152088400
2015-01-03,108.290001,113.250000,104.629997,112.010002,102.395844,283252500
2015-01-10,112.599998,112.800003,105.199997,105.989998,96.892563,304226600
2015-01-17,107.839996,113.750000,106.500000,112.980003,103.282608,198737000
2015-01-24,113.739998,120.000000,109.029999,117.160004,107.103836,465842700
2015-01-31,118.050003,120.510002,116.080002,118.930000,108.721893,270757300
2015-02-07,118.550003,127.480003,118.430000,127.080002,116.630859,303206800
2015-02-14,127.489998,129.500000,126.919998,129.500000,118.851883,194354900
2015-02-21,130.020004,133.600006,126.610001,128.460007,117.897400,368216200
2015-02-28,129.250000,130.279999,125.760002,126.599998,116.190331,246938500
2015-03-07,127.959999,129.570007,121.629997,123.589996,113.427818,326514100
2015-03-14,123.879997,129.250000,122.870003,125.900002,115.547905,266672900
2015-03-21,127.120003,128.039993,122.599998,123.250000,113.115784,209326300
2015-03-28,124.050003,126.489998,123.099998,125.320000,115.015564,162031800
